	BLCA	LGG	BRCA	CESC	COAD	ESCA	HNSC	KIRC	KIRP	LIHC	LUAD	LUSC	OV	PAAD	PCPG	PRAD	READ	SARC	STAD	TGCT	THCA	UCEC	Healthy
LUAD	0.057339329522613454	0.06022423966013987	0.08168077753542369	0.06585922863381302	0.052718086610019824	0.05838699043329334	0.05852454599342566	0.055682547808969335	0.045746972648479475	0.042085238864126386	1.0	0.07899109899035182	0.04611212641807225	0.05621348560436537	0.036576125815042985	0.05389195891438456	0.040222529523936464	0.06038355661999673	0.061593400293651755	0.07051884757808158	0.056350804944767484	0.052138902313752226	0.04663474458584476
LUSC	0.06188889549989092	0.036988234000775645	0.07007779153572113	0.0753757943570453	0.04620136449828297	0.0650947728460357	0.07936004630028691	0.04897486308102795	0.0415965504132539	0.05462950196297559	0.07899109899035182	1.0	0.041508492184363914	0.0454993818059699	0.0627530256541379	0.038412557218273385	0.0724891591289251	0.04758847894225502	0.06768565189238603	0.04844867983755998	0.045003400218646974	0.04368147030797677	0.07407462041788276
OV	0.042496013719655376	0.03801328818331415	0.05466164247028735	0.047289096752447426	0.05633895373240004	0.041104745609566194	0.05130337347869289	0.05387542327880118	0.03184507629538533	0.026712441258589358	0.04611212641807225	0.041508492184363914	1.0	0.03941247037481347	0.026916874663322553	0.042634945241290044	0.027134278971147886	0.05924376362017483	0.04333038773539702	0.04137632743852891	0.06191047934960673	0.0435183121317503	0.03191181970855915
PAAD	0.03881836501136188	0.04622461492448034	0.06895128680842967	0.06297317447847603	0.05140986314299198	0.061350263390870095	0.05787405755548476	0.06087393281392972	0.03591435579550192	0.0322596937242987	0.05621348560436537	0.0454993818059699	0.03941247037481347	1.0	0.03332052621605317	0.04787993782257306	0.03371371880819047	0.04472032993245878	0.04798931853767304	0.061962636788757804	0.07557752413061354	0.04284526158827959	0.03811681972586281
PCPG	0.03307505290959019	0.03395185127011552	0.04737925266274037	0.03644465545053018	0.026990894426781372	0.031460257315333744	0.03244365239606082	0.04270886477975734	0.034144327277347224	0.04456961099768495	0.036576125815042985	0.0627530256541379	0.026916874663322553	0.03332052621605317	1.0	0.029086535046385968	0.047069250485064794	0.035893018145448305	0.03604517628335549	0.03669919902610428	0.03730928305645083	0.028520484716362877	0.06378963489817903
PRAD	0.054028365259759036	0.039769703852362365	0.05643355569621232	0.04363290020981338	0.046593176935500025	0.03996404292375976	0.0647371545648108	0.052813580293812785	0.04872960240885838	0.03123570670971857	0.05389195891438456	0.038412557218273385	0.042634945241290044	0.04787993782257306	0.029086535046385968	1.0	0.02799382041758996	0.045448504379572825	0.061527593494946665	0.04052762064809665	0.05799775481419648	0.039418639273485184	0.038440536252902203
READ	0.034929672488016025	0.022937693176284978	0.042813800455095224	0.039916783685749115	0.05440707401899538	0.03918190098470233	0.03564142994826876	0.032615098485650744	0.026951829033442933	0.04072015311885894	0.040222529523936464	0.0724891591289251	0.027134278971147886	0.03371371880819047	0.047069250485064794	0.02799382041758996	1.0	0.026944014874540758	0.05211004578889197	0.03215818312733735	0.02850611330683962	0.028872080937889004	0.05471358524095089
SARC	0.05029456513035222	0.05675726886964153	0.05951479820518833	0.05254049988872603	0.05299897119899223	0.04661909531482322	0.056977900055656956	0.055433273549548044	0.046483205971796185	0.030988599429146526	0.06038355661999673	0.04758847894225502	0.05924376362017483	0.04472032993245878	0.035893018145448305	0.045448504379572825	0.026944014874540758	1.0	0.050686755203428906	0.06504503995984995	0.050672653605318085	0.04473666640364667	0.04431045340535181
STAD	0.06520124210419465	0.034204240976709786	0.05602940857846501	0.05465308913470611	0.06723658803383685	0.06313150659812537	0.06457350223659351	0.05236830262491156	0.03948518355670635	0.0401458345959109	0.061593400293651755	0.06768565189238603	0.04333038773539702	0.04798931853767304	0.03604517628335549	0.061527593494946665	0.05211004578889197	0.050686755203428906	1.0	0.04597972374075902	0.054255693861114486	0.04159893556815856	0.05533546187764781
TGCT	0.03876552955467092	0.0730055841934878	0.05962096152178041	0.056640154254037116	0.04192552066781736	0.053239805304076675	0.052275843558729655	0.05097635870716798	0.04016852091819802	0.034438137577898625	0.07051884757808158	0.04844867983755998	0.04137632743852891	0.061962636788757804	0.03669919902610428	0.04052762064809665	0.03215818312733735	0.06504503995984995	0.04597972374075902	1.0	0.04962183748605876	0.04671280106727174	0.04380467500705484
THCA	0.06029257463948457	0.04088149459575259	0.05750760268641627	0.04862467910569979	0.05470780601036194	0.0420557607646539	0.0607003082953425	0.06479407134446602	0.04229538138146967	0.038231422226281196	0.056350804944767484	0.045003400218646974	0.06191047934960673	0.07557752413061354	0.03730928305645083	0.05799775481419648	0.02850611330683962	0.050672653605318085	0.054255693861114486	0.04962183748605876	1.0	0.041801671415232736	0.046878782533590416
