TF	n_activating	n_repressing	n_targets	dominant_sign
SMAD2	90	28	107	activator
SMAD3	161	57	189	activator
SMAD4	127	36	142	activator
SMAD5	32	6	35	activator
SMAD6	12	19	24	repressor
SMAD7	37	46	66	repressor
SMAD9	7	2	7	activator
SMARCA1	53	4	54	activator
SMARCA4	10	4	10	activator
SMARCA5	15	2	16	activator
SMARCB1	4	3	5	activator
SMARCC1	8	0	8	activator
SMARCC2	1	0	1	activator
SMARCD3	2	0	2	activator
SMARCE1	4	1	4	activator
SNAI1	81	44	98	activator
SNAI2	16	36	48	repressor
SND1	2	1	2	activator
SNW1	4	0	4	activator
SOHLH1	4	0	4	activator
SOHLH2	2	1	2	activator
SON	7	1	7	activator
SOX1	2	2	3	mixed
SOX10	35	7	37	activator
SOX11	11	1	12	activator
SOX14	1	0	1	activator
SOX15	2	0	2	activator
SOX17	33	14	45	activator
SOX18	6	0	6	activator
SOX2	74	27	89	activator
SOX21	2	1	2	activator
SOX3	3	4	7	repressor
SOX4	23	2	23	activator
SOX5	15	4	18	activator
SOX6	13	11	24	activator
SOX7	6	0	6	activator
SOX8	3	1	4	activator
SOX9	89	32	104	activator
SP1	1296	106	1333	activator
SP100	0	3	3	repressor
SP140	1	0	1	activator
SP2	20	5	23	activator
SP3	424	77	449	activator
SP4	49	5	48	activator
SP5	1	1	2	mixed
SP6	4	2	6	activator
SP7	44	6	45	activator
SP8	2	0	2	activator
SPDEF	15	6	19	activator
SPEN	2	0	2	activator
SPI1	331	49	343	activator
SPIB	14	3	17	activator
SPIC	10	0	10	activator
SPZ1	2	0	2	activator
SRCAP	2	0	2	activator
SREBF1	114	24	130	activator
SREBF2	60	11	70	activator
SRF	101	13	104	activator
SRSF2	11	2	11	activator
SRY	40	12	41	activator
SSRP1	148	0	147	activator
ST18	2	0	2	activator
STAT1	286	51	303	activator
STAT2	48	5	50	activator
STAT3	398	92	435	activator
STAT4	29	2	31	activator
STAT5A	208	31	214	activator
STAT5B	102	8	105	activator
STAT6	116	29	126	activator
STOX1	3	2	5	activator
SUPT20H	5	0	5	activator
SUPT3H	1	0	1	activator
TADA2A	8	0	8	activator
TAF1	38	8	42	activator
TAF12	1	0	1	activator
TAF4	1	1	2	mixed
TAF5	1	0	1	activator
TAL1	91	16	95	activator
TBL1X	1	1	1	mixed
TBL1XR1	1	0	1	activator
TBP	161	16	166	activator
TBPL1	39	3	40	activator
TBPL2	10	1	10	activator
TBR1	5	1	6	activator
TBX1	12	2	14	activator
TBX10	5	0	5	activator
TBX15	28	0	28	activator
TBX18	13	2	13	activator
TBX19	2	0	2	activator
TBX2	16	24	33	repressor
TBX20	5	3	7	activator
TBX21	49	15	53	activator
TBX22	0	3	3	repressor
TBX3	2	23	23	repressor
TBX4	4	0	4	activator
TBX5	24	5	25	activator
TBX6	10	1	10	activator
TBXT	15	0	15	activator
TCF12	50	6	51	activator
TCF15	7	0	7	activator
TCF20	4	0	4	activator
TCF21	14	10	16	activator
TCF23	0	2	2	repressor
TCF3	118	28	129	activator
TCF4	50	15	58	activator
TCF7	20	5	23	activator
TCF7L1	4	5	6	repressor
TCF7L2	102	22	117	activator
TCFL5	2	1	3	activator
TEAD1	20	6	25	activator
TEAD2	6	1	6	activator
TEAD4	12	1	12	activator
TEF	16	1	16	activator
TERF2	1	1	2	mixed
TET1	15	2	15	activator
TET2	1	0	1	activator
TFAM	15	1	15	activator
TFAP2A	292	57	314	activator
TFAP2B	23	10	26	activator
TFAP2C	32	4	34	activator
TFAP2D	9	0	9	activator
TFAP2E	3	1	3	activator
TFAP4	30	9	36	activator
TFCP2	74	2	74	activator
TFCP2L1	3	1	3	activator
TFDP1	31	2	31	activator
TFDP2	5	0	5	activator
TFDP3	1	5	6	repressor
TFE3	35	3	36	activator
TFEB	8	0	8	activator
TFEC	4	1	4	activator
TGFB1I1	12	4	12	activator
TGIF1	6	6	12	mixed
THAP1	2	2	3	mixed
THAP11	4	4	6	mixed
THAP12	1	0	1	activator
THAP7	3	0	2	activator
THAP9	3	0	3	activator
THRA	68	21	83	activator
THRB	49	10	57	activator
TLE1	1	0	1	activator
TLE3	0	1	1	repressor
TLE4	1	1	1	mixed
TLE5	3	1	4	activator
TLX1	6	3	9	activator
TLX2	5	0	5	activator
TLX3	6	0	6	activator
TOB1	0	1	1	repressor
TOX	4	0	4	activator
TOX2	3	0	3	activator
TOX3	5	1	6	activator
TP53	826	330	977	activator
TP53BP1	1	0	1	activator
TP63	197	34	204	activator
TP73	114	29	125	activator
TRERF1	10	10	16	mixed
TRIB3	1	1	2	mixed
TRIM14	1	0	1	activator
TRIM15	1	0	1	activator
TRIM21	1	0	1	activator
TRIM22	3	0	3	activator
TRIM24	0	1	1	repressor
TRIM25	1	0	1	activator
TRIM27	1	0	1	activator
TRIM28	3	4	6	repressor
TRIM31	1	0	1	activator
TRIM5	1	0	1	activator
TRIM62	1	0	1	activator
TRIM8	1	0	1	activator
TRPS1	10	11	16	repressor
TRRAP	1	1	2	mixed
TSC22D1	7	0	7	activator
TSG101	0	3	3	repressor
TSHZ1	1	1	2	mixed
TSHZ3	5	3	6	activator
TTF1	58	8	60	activator
TWIST1	52	34	78	activator
TWIST2	19	18	34	activator
UBP1	3	0	3	activator
UBTF	9	0	9	activator
UNCX	3	0	3	activator
URI1	0	1	1	repressor
USF1	217	24	226	activator
USF2	108	15	114	activator
UTF1	4	0	4	activator
VAX1	0	1	1	repressor
VAX2	3	1	4	activator
VDR	130	55	150	activator
VENTX	6	0	5	activator
VEZF1	7	2	8	activator
VHL	15	15	24	mixed
VSX1	4	0	4	activator
VSX2	29	2	30	activator
WNT3A	3	1	3	activator
WT1	126	54	156	activator
WWTR1	8	4	9	activator
XBP1	56	11	56	activator
XPC	2	3	4	repressor
YAP1	9	3	9	activator
YBX1	72	39	91	activator
YBX2	1	1	1	mixed
YBX3	21	7	26	activator
YY1	193	112	264	activator
YY2	3	0	3	activator
ZBED1	20	1	21	activator
ZBED6	3	1	3	activator
ZBTB10	2	1	2	activator
ZBTB12	2	0	2	activator
ZBTB14	4	4	6	mixed
ZBTB16	44	19	50	activator
ZBTB17	40	10	43	activator
ZBTB18	1	8	9	repressor
ZBTB2	1	3	4	repressor
ZBTB20	0	3	3	repressor
ZBTB22	1	0	1	activator
ZBTB32	4	2	5	activator
ZBTB33	10	4	11	activator
ZBTB38	6	1	5	activator
ZBTB4	13	1	14	activator
ZBTB44	2	0	1	activator
ZBTB48	2	0	1	activator
ZBTB5	0	1	1	repressor
ZBTB7A	23	21	36	activator
ZBTB7B	13	6	15	activator
ZBTB7C	1	1	2	mixed
ZBTB8A	0	1	1	repressor
ZBTB8B	0	1	1	repressor
ZC3H8	0	1	1	repressor
ZEB1	24	46	63	repressor
ZEB2	17	16	29	activator
ZFAT	2	0	2	activator
ZFHX2	2	1	2	activator
ZFHX3	8	8	15	mixed
ZFHX4	1	0	1	activator
ZFP1	1	0	1	activator
ZFP42	17	3	18	activator
ZFP57	2	0	2	activator
ZFP64	4	2	5	activator
ZFP90	2	0	2	activator
ZFPM1	14	6	16	activator
ZFPM2	11	4	12	activator
ZFX	4	1	5	activator
ZGLP1	26	1	26	activator
ZGPAT	11	1	12	activator
ZHX2	1	10	10	repressor
ZHX3	1	1	2	mixed
ZIC1	16	2	17	activator
ZIC2	6	2	7	activator
ZIC3	4	1	4	activator
ZKSCAN3	3	0	3	activator
ZKSCAN4	0	2	2	repressor
ZKSCAN7	14	2	14	activator
ZMIZ1	2	0	2	activator
ZMYND11	1	0	1	activator
ZMYND8	2	6	8	repressor
ZNF134	2	0	1	activator
ZNF135	3	0	2	activator
ZNF14	1	0	1	activator
ZNF140	0	1	1	repressor
ZNF143	28	3	30	activator
ZNF148	25	14	30	activator
ZNF16	3	1	2	activator
ZNF160	6	1	7	activator
ZNF165	0	3	3	repressor
ZNF174	1	2	2	repressor
ZNF175	1	0	1	activator
ZNF184	2	0	1	activator
ZNF189	2	0	1	activator
ZNF195	1	0	1	activator
ZNF2	1	0	1	activator
ZNF20	3	0	3	activator
ZNF202	0	7	7	repressor
ZNF205	0	2	2	repressor
ZNF217	6	3	6	activator
ZNF219	5	2	5	activator
ZNF224	2	1	3	activator
ZNF236	14	0	14	activator
ZNF239	1	1	2	mixed
ZNF24	3	2	5	activator
ZNF250	3	0	3	activator
ZNF256	2	0	2	activator
ZNF260	3	0	3	activator
ZNF263	9	1	10	activator
ZNF266	1	0	1	activator
ZNF267	0	1	1	repressor
ZNF268	1	0	1	activator
ZNF274	5	1	4	activator
ZNF277	3	2	2	activator
ZNF281	3	3	3	mixed
ZNF287	2	0	2	activator
ZNF292	1	0	1	activator
ZNF296	2	1	2	activator
ZNF300	6	2	8	activator
ZNF304	0	3	2	repressor
ZNF316	4	0	4	activator
ZNF32	2	2	4	mixed
ZNF322	2	0	2	activator
ZNF331	7	12	17	repressor
ZNF335	8	0	8	activator
ZNF350	7	7	9	mixed
ZNF354C	28	1	28	activator
ZNF362	22	0	22	activator
ZNF382	0	11	11	repressor
ZNF383	0	1	1	repressor
ZNF384	24	3	25	activator
ZNF395	7	1	7	activator
ZNF398	3	0	2	activator
ZNF410	4	2	6	activator
ZNF417	2	0	1	activator
ZNF419	2	0	1	activator
ZNF423	5	0	5	activator
ZNF431	1	1	1	mixed
ZNF436	7	0	7	activator
ZNF444	1	0	1	activator
ZNF451	0	3	3	repressor
ZNF461	0	3	3	repressor
ZNF492	1	0	1	activator
ZNF503	0	2	2	repressor
ZNF513	1	0	1	activator
ZNF521	1	3	3	repressor
ZNF569	1	0	1	activator
ZNF571	2	0	2	activator
ZNF652	1	1	1	mixed
ZNF653	2	0	1	activator
ZNF667	1	1	1	mixed
ZNF671	2	2	1	mixed
ZNF692	0	1	1	repressor
ZNF699	55	0	55	activator
ZNF711	1	1	1	mixed
ZNF746	3	1	3	activator
ZNF750	0	1	1	repressor
ZNF76	5	2	7	activator
ZNF77	2	0	2	activator
ZNF79	1	0	1	activator
ZNF8	0	2	2	repressor
ZNF804A	8	3	10	activator
ZNF85	1	0	1	activator
ZNF91	48	3	49	activator
ZSCAN10	2	0	2	activator
ZSCAN18	2	0	1	activator
ZSCAN21	1	0	1	activator
ZSCAN26	0	1	1	repressor
ZSCAN9	2	0	1	activator
ZXDA	3	0	2	activator
ZXDC	7	1	6	activator
