TF	n_targets	dominant_sign	source
PREB	23	activator	collectri
HOXB7	23	activator	collectri
TBX3	23	repressor	collectri
LMX1B	23	activator	collectri
SOX4	23	activator	collectri
MAFA	23	activator	collectri
TCF7	23	activator	collectri
ZNF362	22	activator	collectri
NFE2	22	activator	collectri
ETV1	22	activator	collectri
GTF2I	22	activator	collectri
RORC	22	activator	collectri
DLX2	22	activator	collectri
KLF8	21	activator	collectri
ZBED1	21	activator	collectri
NR2C1	21	activator	collectri
CXXC1	21	activator	collectri
HIC1	21	repressor	collectri
CREBZF	20	activator	collectri
PURA	20	activator	collectri
SKIL	20	activator	collectri
SALL4	20	activator	collectri
BHLHA15	20	activator	collectri
PKNOX1	20	activator	collectri
NONO	20	activator	collectri
DLX3	20	activator	collectri
HOXD13	20	activator	collectri
RFXANK	20	activator	collectri
FOXJ1	19	activator	collectri
NFKBIB	19	activator	collectri
IRX1	19	repressor	collectri
CEBPZ	19	activator	collectri
ENO1	19	activator	collectri
OLIG2	19	activator	collectri
NKX6-1	19	activator	collectri
SPDEF	19	activator	collectri
HEY2	19	activator	collectri
PLAGL1	19	activator	collectri
DMTF1	19	activator	collectri
MECOM	19	activator	collectri
FOXC1	19	activator	collectri
HDAC9	19	repressor	collectri
PML	18	activator	collectri
HLF	18	activator	collectri
SIX1	18	activator	collectri
ERF	18	activator	collectri
PAX7	18	activator	collectri
NRL	18	activator	collectri
ZFP42	18	activator	collectri
KDM5A	18	activator	collectri
SOX5	18	activator	collectri
RFXAP	18	activator	collectri
LRRFIP1	17	activator	collectri
ZNF331	17	repressor	collectri
MED1	17	activator	collectri
FOXQ1	17	activator	collectri
MBD1	17	mixed	collectri
HLX	17	activator	collectri
SPIB	17	activator	collectri
PTF1A	17	activator	collectri
ZIC1	17	activator	collectri
ZFPM1	16	activator	collectri
PHOX2B	16	activator	collectri
MLXIPL	16	activator	collectri
BACH1	16	activator	collectri
NR2E1	16	activator	collectri
BCL11A	16	activator	collectri
NR2F6	16	repressor	collectri
BATF	16	activator	collectri
CTBP2	16	activator	collectri
SMARCA5	16	activator	collectri
RCOR2	16	activator	collectri
KCNIP3	16	activator	collectri
TRPS1	16	repressor	collectri
TEF	16	activator	collectri
TRERF1	16	mixed	collectri
TCF21	16	activator	collectri
NEUROG1	16	activator	collectri
JARID2	16	activator	collectri
HTATIP2	16	activator	collectri
HOXA13	16	activator	collectri
FOXG1	16	repressor	collectri
HOXA5	16	activator	collectri
TBXT	15	activator	collectri
ZBTB7B	15	activator	collectri
ZFHX3	15	mixed	collectri
TFAM	15	activator	collectri
TET1	15	activator	collectri
ING4	15	repressor	collectri
BARX2	15	activator	collectri
IRF6	15	activator	collectri
FOXD3	15	activator	collectri
KMT2B	15	activator	collectri
NR6A1	15	activator	collectri
CREB3	15	activator	collectri
KAT2B	15	activator	collectri
EGR4	15	activator	collectri
NR2E3	15	activator	collectri
RXRB	15	activator	collectri
ZKSCAN7	14	activator	collectri
HOXC8	14	activator	collectri
ZNF236	14	activator	collectri
TBX1	14	activator	collectri
ATOH1	14	activator	collectri
HAND1	14	activator	collectri
ETV7	14	activator	collectri
FOXA3	14	activator	collectri
ZBTB4	14	activator	collectri
ID4	14	activator	collectri
KLF3	14	activator	collectri
GSC	14	activator	collectri
HOXB13	13	activator	collectri
SCX	13	activator	collectri
KLF13	13	activator	collectri
FOXH1	13	activator	collectri
EHF	13	activator	collectri
TBX18	13	activator	collectri
HOXA7	13	activator	collectri
MYF6	13	activator	collectri
HOXB2	13	activator	collectri
FOXF2	13	activator	collectri
MTA3	13	activator	collectri
LYL1	13	activator	collectri
DEAF1	13	activator	collectri
HDAC7	13	repressor	collectri
LHX3	13	activator	collectri
PHOX2A	13	activator	collectri
ZGPAT	12	activator	collectri
NEUROD2	12	activator	collectri
GFI1B	12	mixed	collectri
SOX11	12	activator	collectri
SIN3A	12	repressor	collectri
NPM1	12	activator	collectri
SF1	12	activator	collectri
ARID4B	12	repressor	collectri
KDM5C	12	activator	collectri
MYBL1	12	activator	collectri
ZFPM2	12	activator	collectri
PROP1	12	activator	collectri
TEAD4	12	activator	collectri
HOXC6	12	activator	collectri
E2F5	12	activator	collectri
CREB5	12	repressor	collectri
LHX8	12	activator	collectri
TGFB1I1	12	activator	collectri
TGIF1	12	mixed	collectri
KAT6A	12	activator	collectri
PATZ1	12	activator	collectri
ZNF382	11	repressor	collectri
CREB3L1	11	activator	collectri
BRD4	11	activator	collectri
PRDM2	11	activator	collectri
FOXP2	11	repressor	collectri
SRSF2	11	activator	collectri
CTCFL	11	activator	collectri
ZBTB33	11	activator	collectri
HSF4	11	mixed	collectri
ELF5	11	activator	collectri
PHF20	11	activator	collectri
ETV3	11	repressor	collectri
NEUROD6	11	activator	collectri
ATOH7	11	activator	collectri
KLF12	11	activator	collectri
SIX3	11	activator	collectri
ESRRB	11	activator	collectri
HNF4G	11	activator	collectri
SIM2	11	activator	collectri
EN1	11	activator	collectri
HIVEP2	11	activator	collectri
ELF2	11	activator	collectri
PBX2	11	activator	collectri
MYRF	10	activator	collectri
NOTO	10	activator	collectri
ABL1	10	activator	collectri
MNT	10	activator	collectri
TBPL2	10	activator	collectri
HIVEP1	10	activator	collectri
HDAC5	10	repressor	collectri
SMARCA4	10	activator	collectri
FOXI1	10	activator	collectri
SPIC	10	activator	collectri
FGF2	10	activator	collectri
TBX6	10	activator	collectri
HOXB1	10	activator	collectri
DLX1	10	activator	collectri
CTBP1	10	repressor	collectri
ASCL2	10	activator	collectri
ZHX2	10	repressor	collectri
ZNF263	10	activator	collectri
ZNF804A	10	activator	collectri
SALL3	10	activator	collectri
GCM1	10	activator	collectri
NKRF	10	activator	collectri
KDM2A	10	activator	collectri
PAX9	10	activator	collectri
KLF7	10	activator	collectri
POU2F3	10	activator	collectri
HOXB4	10	activator	collectri
HOXD3	10	activator	collectri
RREB1	10	activator	collectri
OVOL1	9	activator	collectri
TLX1	9	activator	collectri
PBRM1	9	activator	collectri
TFAP2D	9	activator	collectri
MEIS2	9	activator	collectri
CREB3L3	9	activator	collectri
ZNF350	9	mixed	collectri
UBTF	9	activator	collectri
ARID5B	9	activator	collectri
WWTR1	9	activator	collectri
EBF3	9	activator	collectri
BMAL2	9	activator	collectri
ZBTB18	9	repressor	collectri
PAX4	9	activator	collectri
YAP1	9	activator	collectri
HOXB3	9	activator	collectri
MYT1	9	activator	collectri
GRHL2	9	activator	collectri
HOPX	9	activator	collectri
HMGB2	9	activator	collectri
HIPK2	9	repressor	collectri
HINFP	9	activator	collectri
HES6	9	repressor	collectri
PRDM4	9	activator	collectri
NPAS2	9	activator	collectri
FEZF1	9	activator	collectri
EMX2	9	activator	collectri
E4F1	9	activator	collectri
VEZF1	8	activator	collectri
SMARCC1	8	activator	collectri
NSD2	8	activator	collectri
PEG3	8	activator	collectri
SIX4	8	activator	collectri
PLAGL2	8	activator	collectri
PARK7	8	activator	collectri
TFEB	8	activator	collectri
ZMYND8	8	repressor	collectri
ZNF300	8	activator	collectri
ZNF335	8	activator	collectri
TADA2A	8	activator	collectri
NFE2L1	8	activator	collectri
ETV2	8	activator	collectri
FEZF2	8	activator	collectri
MXI1	8	activator	collectri
DMRT1	8	activator	collectri
LMX1A	8	activator	collectri
DOT1L	8	activator	collectri
MESP2	8	activator	collectri
MAFG	8	activator	collectri
FEV	8	activator	collectri
FOXE1	8	activator	collectri
BCLAF1	8	activator	collectri
MEOX1	8	activator	collectri
FOXF1	8	activator	collectri
HOXA11	8	repressor	collectri
FOXN4	8	activator	collectri
GBX2	8	activator	collectri
GLIS3	8	activator	collectri
HCFC1	8	activator	collectri
MYOCD	8	activator	collectri
DACH1	8	repressor	collectri
BARX1	8	activator	collectri
ATF7	8	activator	collectri
NFKBIZ	8	activator	collectri
ARID1A	8	activator	collectri
BACH2	8	repressor	collectri
TBX20	7	activator	collectri
SMAD9	7	activator	collectri
NFE2L3	7	activator	collectri
ZNF160	7	activator	collectri
ZNF202	7	repressor	collectri
PLAG1	7	activator	collectri
FHL2	7	activator	collectri
MEOX2	7	activator	collectri
OLIG1	7	activator	collectri
MKX	7	activator	collectri
ZNF436	7	activator	collectri
NKX3-2	7	activator	collectri
ZNF395	7	activator	collectri
RXRG	7	activator	collectri
SOX3	7	repressor	collectri
E2F7	7	repressor	collectri
TCF15	7	activator	collectri
MEF2B	7	activator	collectri
ARID3A	7	activator	collectri
BCOR	7	repressor	collectri
NR1D2	7	repressor	collectri
BTG2	7	activator	collectri
KAT6B	7	activator	collectri
NAB2	7	repressor	collectri
TSC22D1	7	activator	collectri
PRRX1	7	activator	collectri
IKZF4	7	activator	collectri
HES5	7	repressor	collectri
HOXD1	7	activator	collectri
HOXC13	7	activator	collectri
HDGF	7	activator	collectri
SHOX2	7	activator	collectri
ZIC2	7	activator	collectri
HOXB9	7	activator	collectri
ZNF76	7	activator	collectri
SON	7	activator	collectri
SETBP1	6	activator	collectri
HOXA2	6	repressor	collectri
LHX4	6	activator	collectri
SALL1	6	activator	collectri
LHX1	6	activator	collectri
POU4F3	6	activator	collectri
RORB	6	activator	collectri
KDM5D	6	activator	collectri
RFX3	6	activator	collectri
IKZF3	6	activator	collectri
HIVEP3	6	activator	collectri
NHLH2	6	activator	collectri
HIF3A	6	repressor	collectri
HEYL	6	repressor	collectri
ZNF410	6	activator	collectri
AIP	6	repressor	collectri
ZNF217	6	activator	collectri
ARID3B	6	activator	collectri
ZBTB14	6	mixed	collectri
TSHZ3	6	activator	collectri
TRIM28	6	repressor	collectri
CHD4	6	repressor	collectri
TOX3	6	activator	collectri
TLX3	6	activator	collectri
THAP11	6	mixed	collectri
TFDP3	6	repressor	collectri
TEAD2	6	activator	collectri
TCF7L1	6	repressor	collectri
TBR1	6	activator	collectri
ELK4	6	activator	collectri
PIAS1	6	mixed	collectri
SP6	6	activator	collectri
SOX7	6	activator	collectri
SOX18	6	activator	collectri
GTF2IRD1	6	activator	collectri
PIN1	6	activator	collectri
FOXD1	6	mixed	collectri
ZXDC	6	activator	collectri
PHF5A	6	activator	collectri
MTF2	6	activator	collectri
MTA2	6	mixed	collectri
NUPR1	6	activator	collectri
NKX6-3	6	activator	collectri
PAWR	6	repressor	collectri
HOXD4	5	activator	collectri
HOXD8	5	activator	collectri
PAX1	5	activator	collectri
SALL2	5	activator	collectri
ZFX	5	activator	collectri
ASXL1	5	activator	collectri
MAML1	5	activator	collectri
HOXB5	5	activator	collectri
NHLH1	5	activator	collectri
ZFP64	5	activator	collectri
IKZF2	5	activator	collectri
CAMTA1	5	activator	collectri
LMO4	5	repressor	collectri
ZNF423	5	activator	collectri
RFX2	5	activator	collectri
VENTX	5	activator	collectri
HOXD10	5	activator	collectri
RFX4	5	activator	collectri
ARID4A	5	activator	collectri
NFX1	5	activator	collectri
AHRR	5	activator	collectri
MLX	5	activator	collectri
MNX1	5	activator	collectri
MIXL1	5	activator	collectri
TBX10	5	activator	collectri
ZNF219	5	activator	collectri
ZNF24	5	activator	collectri
DMAP1	5	activator	collectri
SUPT20H	5	activator	collectri
STOX1	5	activator	collectri
DAXX	5	repressor	collectri
TFDP2	5	activator	collectri
FOXO6	5	activator	collectri
ARID1B	5	activator	collectri
TLX2	5	activator	collectri
PA2G4	5	repressor	collectri
SMARCB1	5	activator	collectri
AEBP1	5	activator	collectri
INSM1	5	activator	collectri
MLXIP	5	activator	collectri
PRDM16	5	activator	collectri
ZBTB38	5	activator	collectri
KLF17	5	repressor	collectri
NCOA6	5	activator	collectri
IRX4	5	activator	collectri
POU2AF1	5	activator	collectri
PPARGC1B	5	activator	collectri
ZBTB32	5	activator	collectri
KAT8	4	activator	collectri
ARID5A	4	activator	collectri
TFEC	4	activator	collectri
ONECUT2	4	activator	collectri
KMT2E	4	activator	collectri
KDM2B	4	repressor	collectri
SIM1	4	activator	collectri
FIGLA	4	activator	collectri
FOXD2	4	activator	collectri
SKI	4	activator	collectri
HMGB1	4	activator	collectri
HMGXB4	4	mixed	collectri
ZNF274	4	activator	collectri
NACC1	4	activator	collectri
ASH1L	4	activator	collectri
POU6F2	4	activator	collectri
NEUROD4	4	activator	collectri
POU3F3	4	activator	collectri
ZIC3	4	activator	collectri
SMARCE1	4	activator	collectri
ZNF32	4	mixed	collectri
ZNF316	4	activator	collectri
TOX	4	activator	collectri
ATOH8	4	activator	collectri
SOHLH1	4	activator	collectri
SNW1	4	activator	collectri
FUS	4	activator	collectri
CITED2	4	repressor	collectri
CNOT7	4	repressor	collectri
POU3F4	4	activator	collectri
NPAS1	4	repressor	collectri
KLF14	4	activator	collectri
SOX8	4	activator	collectri
OSR1	4	activator	collectri
ZBTB2	4	repressor	collectri
ALX1	4	activator	collectri
NKX6-2	4	activator	collectri
MAFF	4	activator	collectri
ARHGAP35	4	activator	collectri
TLE5	4	activator	collectri
ATF6B	4	activator	collectri
TBX4	4	activator	collectri
RERE	4	activator	collectri
ATRX	4	activator	collectri
MRTFA	4	activator	collectri
HOXD11	4	activator	collectri
CASZ1	4	activator	collectri
PIAS3	4	activator	collectri
DUX4	4	activator	collectri
VSX1	4	activator	collectri
PIAS2	4	repressor	collectri
VAX2	4	activator	collectri
DR1	4	activator	collectri
PURB	4	repressor	collectri
BSX	4	activator	collectri
NPAS4	4	activator	collectri
XPC	4	repressor	collectri
TCF20	4	activator	collectri
IRF2BPL	4	repressor	collectri
BPTF	4	activator	collectri
NANOGP8	4	repressor	collectri
HOXC9	4	mixed	collectri
HOXC11	4	activator	collectri
DMBX1	4	activator	collectri
HOXA4	4	activator	collectri
CBFB	4	activator	collectri
HOXB6	4	mixed	collectri
RLF	4	activator	collectri
UTF1	4	activator	collectri
L3MBTL1	3	activator	collectri
NOBOX	3	activator	collectri
FOXP4	3	repressor	collectri
ZNF20	3	activator	collectri
ZNF281	3	mixed	collectri
FOXS1	3	repressor	collectri
TBX22	3	repressor	collectri
ZNF250	3	activator	collectri
MEIS3	3	activator	collectri
BATF3	3	repressor	collectri
LDB1	3	activator	collectri
OTX1	3	activator	collectri
ZNF260	3	activator	collectri
LBX1	3	activator	collectri
LHX9	3	activator	collectri
TCFL5	3	activator	collectri
E2F8	3	activator	collectri
KMT2D	3	activator	collectri
NRIP1	3	repressor	collectri
ZNF224	3	activator	collectri
FOXK1	3	activator	collectri
THAP1	3	mixed	collectri
ZNF165	3	repressor	collectri
EN2	3	activator	collectri
EVX1	3	activator	collectri
MUC1	3	activator	collectri
TFCP2L1	3	activator	collectri
DMRTA1	3	activator	collectri
NFKBIE	3	activator	collectri
THAP9	3	activator	collectri
TFAP2E	3	activator	collectri
SP100	3	repressor	collectri
IRX3	3	mixed	collectri
NKX2-6	3	activator	collectri
CDX4	3	activator	collectri
PRDM10	3	activator	collectri
SIN3B	3	activator	collectri
DNMT3L	3	activator	collectri
PER2	3	repressor	collectri
SHOX	3	activator	collectri
ASCL4	3	activator	collectri
YY2	3	activator	collectri
HMBOX1	3	mixed	collectri
ZNF451	3	repressor	collectri
ZNF461	3	repressor	collectri
TSG101	3	repressor	collectri
SOX1	3	mixed	collectri
HMX1	3	activator	collectri
HOXC4	3	activator	collectri
CBFA2T3	3	repressor	collectri
ZNF521	3	repressor	collectri
NCOA4	3	activator	collectri
UBP1	3	activator	collectri
UNCX	3	activator	collectri
ZBED6	3	activator	collectri
PBX4	3	activator	collectri
HOXB8	3	repressor	collectri
PRDM13	3	mixed	collectri
PRDM5	3	activator	collectri
CIC	3	mixed	collectri
PCGF2	3	repressor	collectri
BHLHE23	3	activator	collectri
GSX1	3	activator	collectri
IRX5	3	mixed	collectri
BRD7	3	activator	collectri
TRIM22	3	activator	collectri
RAX	3	activator	collectri
ZBTB20	3	repressor	collectri
WNT3A	3	activator	collectri
ZKSCAN3	3	activator	collectri
ZNF746	3	activator	collectri
BCL6B	3	activator	collectri
CARF	3	activator	collectri
RCOR1	3	mixed	collectri
TOX2	3	activator	collectri
ZFP57	2	activator	collectri
TERF2	2	mixed	collectri
ZFAT	2	activator	collectri
ZBTB10	2	activator	collectri
BTAF1	2	repressor	collectri
BHLHE22	2	mixed	collectri
DMRT3	2	activator	collectri
MXD4	2	mixed	collectri
DACH2	2	repressor	collectri
ZFHX2	2	activator	collectri
ZNF174	2	repressor	collectri
ZNF16	2	activator	collectri
ZNF135	2	activator	collectri
MYCL	2	mixed	collectri
ZMIZ1	2	activator	collectri
COPS5	2	mixed	collectri
ZKSCAN4	2	repressor	collectri
THAP7	2	activator	collectri
MYT1L	2	repressor	collectri
